Image Link,Name of movie,Year of release,Certificate,Runtime (min),Genre,Rating,MetaScore,Votes,Grosses,Description,Director,Stars
"https://m.media-amazon.com/images/M/MV5BOTBjMDhlM2EtY2RmMC00YzUyLTk5MGEtNThhN2ZhNWIzMTI4XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",The Ox-Bow Incident,1943,N/A,75,"Drama, Western",8,^^^^^^,"24,403",$1.64M,"When a posse captures three men suspected of killing a local farmer, they become strongly divided over whether or not to lynch the men.",William A. Wellman,"Henry Fonda, Dana Andrews, Mary Beth Hughes, Anthony Quinn"
"https://m.media-amazon.com/images/M/MV5BMTlmNzhiMWEtOWVjZC00NmM0LTgxNDItMDJmYTkxYTZkY2FjXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_UX140_CR0,0,140,209_AL_.jpg",Muppet Treasure Island,1996,N/A,99,"Action, Adventure, Comedy",6.9,64,"25,654",$33.61M,"The Muppets set sail in search of treasure, with Jim Hawkins and Long John Silver.","Directors:Brian Henson, David Lane","Tim Curry, Billy Connolly, Jennifer Saunders, Kevin Bishop"
"https://m.media-amazon.com/images/M/MV5BY2JhZmJmOTQtMjg5Ni00N2M4LTlkNDAtOTc0ZGQ2MTJhNDM4XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UY209_CR0,0,140,209_AL_.jpg",Angels with Dirty Faces,1938,N/A,97,"Crime, Drama, Film-Noir",7.9,^^^^^^,"22,661",*****,A priest tries to stop a gangster from corrupting a group of street kids.,Michael Curtiz,"James Cagney, Pat O'Brien, Humphrey Bogart, Ann Sheridan"
"https://m.media-amazon.com/images/M/MV5BNzljY2U2MDItYWE3Yi00OWE3LWEyMjQtMGNkZmJjNDE0NDJjXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX140_CR0,0,140,209_AL_.jpg",Mildred Pierce,1945,N/A,111,"Crime, Drama, Film-Noir",7.9,88,"27,757",*****,A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.,Michael Curtiz,"Joan Crawford, Jack Carson, Zachary Scott, Eve Arden"
"https://m.media-amazon.com/images/M/MV5BMjg2MjI1OTU2M15BMl5BanBnXkFtZTcwODc3MzM5OQ@@._V1_UY209_CR2,0,140,209_AL_.jpg",Ain't Them Bodies Saints,2013,R,96,"Crime, Drama, Romance",6.4,74,"22,468",$0.39M,The tale of an outlaw who escapes from prison and sets out across the Texas hills to reunite with his wife and the daughter he has never met.,David Lowery,"Rooney Mara, Casey Affleck, Ben Foster, Nate Parker"
"https://m.media-amazon.com/images/M/MV5BMjE1NTEwNzM5MV5BMl5BanBnXkFtZTcwNTA5Njc0NQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",Spy Kids 4: All the Time in the World,2011,PG,89,"Action, Adventure, Comedy",3.5,37,"27,460",$38.54M,"A retired spy is called back into action, and to bond with her new step-children, she invites them along for the adventure to stop the evil Timekeeper from taking over the world.",Robert Rodriguez,"Jessica Alba, Jeremy Piven, Joel McHale, Rowan Blanchard"
"https://m.media-amazon.com/images/M/MV5BNDMwZmMwMTgtODgxYS00NDFkLTllNzctZjA1YjAzYmZjMzRkXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_UX140_CR0,0,140,209_AL_.jpg",The Mummy,1932,N/A,73,"Fantasy, Horror",7,^^^^^^,"28,745",*****,A resurrected Egyptian mummy searches Cairo for the girl he believes to be his long-lost princess.,Karl Freund,"Boris Karloff, Zita Johann, David Manners, Arthur Byron"
"https://m.media-amazon.com/images/M/MV5BMjE1YWRmMWEtYTQ0Yy00NGEwLWFmNzAtZDkwOWNjMzkwYzJmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UY209_CR0,0,140,209_AL_.jpg",How Green Was My Valley,1941,N/A,118,"Drama, Family",7.7,88,"25,679",*****,"At the turn of the century in a Welsh mining village, the Morgans, he stern, she gentle, raise coal-mining sons and hope their youngest will find a better life.",John Ford,"Walter Pidgeon, Maureen O'Hara, Anna Lee, Donald Crisp"
"https://m.media-amazon.com/images/M/MV5BMDI1ZTIxYjgtNWY1Ni00ODZlLTk1ZjQtZWZhNmM0ZmE4ZmNjXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX140_CR0,0,140,209_AL_.jpg",Revenge of the Pink Panther,1978,N/A,99,"Comedy, Crime, Mystery",6.6,65,"22,649",*****,"To prove that he still is strong and powerful, Philippe Douvier decides to kill Clouseau. Once news of his ""death"" has been announced, Clouseau tries to take advantage of it and goes undercover with Cato to find out who tried to kill him.",Blake Edwards,"Peter Sellers, Herbert Lom, Burt Kwouk, Dyan Cannon"
"https://m.media-amazon.com/images/M/MV5BYWM2Mzc0OTctNmZjYS00Nzc1LWExZjItZWIzMTdjNTZhZWYwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX140_CR0,0,140,209_AL_.jpg",Europa,1991,R,112,"Drama, Thriller",7.6,69,"22,545",$1.01M,"Just after W.W.II, an American takes a railway job in Germany, but finds his position politically sensitive with various people trying to use him.",Lars von Trier,"Barbara Sukowa, Jean-Marc Barr, Udo Kier, Ernst-Hugo Järegård"
"https://m.media-amazon.com/images/M/MV5BNjMzZGE4YTctMzUxOS00OTYzLWI4YTAtNTdkZDFjYWQ5OGY4XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UY209_CR0,0,140,209_AL_.jpg",The Freshman,1990,N/A,102,"Comedy, Crime",6.5,78,"21,499",$21.46M,"An N.Y.C. film school student accepts a job with a local mobster who resembles a famous cinema godfather and who takes the young man under his wing, after demanding total loyalty.",Andrew Bergman,"Marlon Brando, Matthew Broderick, Bruno Kirby, Penelope Ann Miller"
"https://m.media-amazon.com/images/M/MV5BMjE3NjQ1MTIxNl5BMl5BanBnXkFtZTgwOTY4OTIzODE@._V1_UY209_CR1,0,140,209_AL_.jpg",Colonia,2015,R,110,"Biography, Drama, History",7,33,"56,107",*****,"A young woman's desperate search for her abducted boyfriend draws her into the infamous Colonia Dignidad, a sect nobody has ever escaped from.",Florian Gallenberger,"Emma Watson, Daniel Brühl, Michael Nyqvist, Richenda Carey"
"https://m.media-amazon.com/images/M/MV5BMTY1NjAyMTUzMl5BMl5BanBnXkFtZTgwMTM4NzQ4MTE@._V1_UX140_CR0,0,140,209_AL_.jpg",Get on Up,2014,PG-13,139,"Biography, Drama, Music",6.9,71,"25,674",$30.51M,A chronicle of James Brown's rise from extreme poverty to become one of the most influential musicians in history.,Tate Taylor,"Chadwick Boseman, Nelsan Ellis, Dan Aykroyd, Viola Davis"
"https://m.media-amazon.com/images/M/MV5BNzQ3ODA1ODc4N15BMl5BanBnXkFtZTgwMDI4MzgxMTE@._V1_UY209_CR0,0,140,209_AL_.jpg",No Escape,1994,A,118,"Action, Drama, Sci-Fi",6.1,^^^^^^,"21,995",$15.34M,A soldier convicted for murdering his commanding officer is dumped and left to die on a prison island inhabited by two camps of convicts.,Martin Campbell,"Ray Liotta, Lance Henriksen, Stuart Wilson, Kevin Dillon"
"https://m.media-amazon.com/images/M/MV5BYTg1MWNkMzQtNGQ2Zi00MTQzLWIyN2UtZWFmMjc0NTMwMjVjXkEyXkFqcGdeQXVyMTUyOTc1NDYz._V1_UY209_CR0,0,140,209_AL_.jpg",Center Stage,2000,PG-13,115,"Drama, Music, Romance",6.7,52,"22,436",$17.17M,A group of 12 teenagers from various backgrounds enroll at the American Ballet Academy in New York to make it as ballet dancers and each one deals with the problems and stress of training and getting ahead in the world of dance.,Nicholas Hytner,"Amanda Schull, Ethan Stiefel, Sascha Radetsky, Christine Dunham"
"https://m.media-amazon.com/images/M/MV5BMzY5ZWQ0OTMtZjdiYy00YzhmLTg5MDAtMzRlMTllMDliMDJkXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_UY209_CR0,0,140,209_AL_.jpg",Maximum Risk,1996,A,101,"Action, Crime, Thriller",5.5,^^^^^^,"23,392",$14.50M,"While seeking answers to the death of the twin brother he never knew he had, a French cop and his sibling's fiancee find themselves pursued by corrupt FBI agents and the Russian mafia.",Ringo Lam,"Jean-Claude Van Damme, Natasha Henstridge, Jean-Hugues Anglade, Zach Grenier"
"https://m.media-amazon.com/images/M/MV5BNGUyMWNjNGYtZmNhNS00MGQxLTlmYmMtNDE0NDhhNDk3ZTgxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY209_CR0,0,140,209_AL_.jpg",Drop Zone,1994,UA,101,"Action, Adventure, Thriller",5.6,^^^^^^,"21,251",$28.72M,A tough cop teams up with a professional skydiver to capture a renegade computer hacker on the run from the law.,John Badham,"Wesley Snipes, Gary Busey, Yancy Butler, Michael Jeter"
"https://m.media-amazon.com/images/M/MV5BNGRiYWQ5YzYtNzM5MC00NjUwLWEyN2ItYmM5MzMzZGQ1ODVmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX140_CR0,0,140,209_AL_.jpg",The Gauntlet,1977,A,109,"Action, Crime, Thriller",6.4,59,"24,479",$35.40M,"A hard but mediocre cop is assigned to escort a prostitute into custody from Las Vegas to Phoenix, so that she can testify in a mob trial. But a lot of people are literally betting that they won't make it into town alive.",Clint Eastwood,"Clint Eastwood, Sondra Locke, Pat Hingle, William Prince"
"https://m.media-amazon.com/images/M/MV5BMmMwNDE5YmYtNzdmYy00ZTlmLWJkOWYtMDY5NDBiMGQyNTFmXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UY209_CR0,0,140,209_AL_.jpg",Croupier,1998,N/A,94,"Crime, Drama",7,75,"22,969",$6.20M,"An aspiring writer is hired as a croupier at a casino, where he realizes that his life as a croupier would make a great novel.",Mike Hodges,"Clive Owen, Nick Reding, Nicholas Ball, Alexander Morton"
"https://m.media-amazon.com/images/M/MV5BYWQ4ZDVhMDUtNTFjNi00YWE1LWI0NTMtYTZhZTFlZTE2NWY2XkEyXkFqcGdeQXVyNjIzODI5OTQ@._V1_UY209_CR0,0,140,209_AL_.jpg",Valiant,2005,G,76,"Animation, Adventure, Comedy",5.5,45,"23,909",$19.48M,"At the height of World War II, a tiny wood pigeon enlists in the elite Royal Homing Pigeon Service to serve Britain, as the fearsome General Von Talon (Tim Curry) and his deadly squadron of falcons patrol the English Channel. Is he a war-hero in the making?",Gary Chapman,"Ewan McGregor, Ricky Gervais, Tim Curry, Jim Broadbent"
"https://m.media-amazon.com/images/M/MV5BMTQzMzMwNDExMV5BMl5BanBnXkFtZTcwMzE5MjU3OQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",Prince Avalanche,2013,R,94,"Comedy, Drama",6.3,73,"20,612",$0.20M,Two highway road workers spend the summer of 1988 away from their city lives. The isolated landscape becomes a place of misadventure as the men find themselves at odds with each other and the women they left behind.,David Gordon Green,"Paul Rudd, Emile Hirsch, Lance LeGault, Joyce Payne"
